from,to,ndvi_mean,ndwi_mean,year,month,quarter,week,year_month,month_week
2018-07-10 00:00:00+00:00,2018-07-15 00:00:00+00:00,0.14283137030022117,-0.11928328288077894,2018,7,3,2,2018-07,7-2
2018-07-15 00:00:00+00:00,2018-07-20 00:00:00+00:00,0.10093889459197646,-0.06495168102983988,2018,7,3,2,2018-07,7-2
2018-07-20 00:00:00+00:00,2018-07-25 00:00:00+00:00,0.1044323431997681,-0.06920576124551524,2018,7,3,3,2018-07,7-3
2018-07-25 00:00:00+00:00,2018-07-30 00:00:00+00:00,0.21237786657878646,-0.18565270144323856,2018,7,3,4,2018-07,7-4
2018-07-30 00:00:00+00:00,2018-08-04 00:00:00+00:00,0.18387090315265986,-0.14698330066735968,2018,7,3,5,2018-07,7-5
2018-08-04 00:00:00+00:00,2018-08-09 00:00:00+00:00,0.30183322030485676,-0.28574587305268917,2018,8,3,1,2018-08,8-1
2018-08-09 00:00:00+00:00,2018-08-14 00:00:00+00:00,0.20834793389847214,-0.17060309335475637,2018,8,3,2,2018-08,8-2
2018-08-14 00:00:00+00:00,2018-08-19 00:00:00+00:00,-0.0065718588159085056,0.03616500727246053,2018,8,3,3,2018-08,8-3
2018-08-19 00:00:00+00:00,2018-08-24 00:00:00+00:00,0.14845998177900835,-0.11161594833905245,2018,8,3,3,2018-08,8-3
2018-08-24 00:00:00+00:00,2018-08-29 00:00:00+00:00,0.03682835960020748,-0.0037372794010190865,2018,8,3,4,2018-08,8-4
2018-08-29 00:00:00+00:00,2018-09-03 00:00:00+00:00,0.4310205011218472,-0.40043316362927484,2018,8,3,5,2018-08,8-5
2018-09-03 00:00:00+00:00,2018-09-08 00:00:00+00:00,0.5028042594651104,-0.47133617602375927,2018,9,3,1,2018-09,9-1
2018-09-08 00:00:00+00:00,2018-09-13 00:00:00+00:00,0.38969868038376965,-0.3340068868335299,2018,9,3,1,2018-09,9-1
2018-09-13 00:00:00+00:00,2018-09-18 00:00:00+00:00,-0.02800123205256218,0.06026401625981986,2018,9,3,2,2018-09,9-2
2018-09-18 00:00:00+00:00,2018-09-23 00:00:00+00:00,0.35332946727242664,-0.2997861884048636,2018,9,3,3,2018-09,9-3
2018-09-23 00:00:00+00:00,2018-09-28 00:00:00+00:00,0.47622273904736406,-0.41360473191717584,2018,9,3,3,2018-09,9-3
2018-09-28 00:00:00+00:00,2018-10-03 00:00:00+00:00,0.33208567868626593,-0.27320194039052487,2018,9,3,4,2018-09,9-4
2018-10-03 00:00:00+00:00,2018-10-08 00:00:00+00:00,0.3756019316628269,-0.3062146759297211,2018,10,4,1,2018-10,10-1
2018-10-08 00:00:00+00:00,2018-10-13 00:00:00+00:00,0.3774137007875109,-0.3100910249519471,2018,10,4,2,2018-10,10-2
2018-10-13 00:00:00+00:00,2018-10-18 00:00:00+00:00,0.49116500536270535,-0.42086235357988944,2018,10,4,2,2018-10,10-2
2018-10-18 00:00:00+00:00,2018-10-23 00:00:00+00:00,0.4111546194874399,-0.33277578407678676,2018,10,4,3,2018-10,10-3
2018-10-23 00:00:00+00:00,2018-10-28 00:00:00+00:00,0.38571856504274504,-0.32060527666383126,2018,10,4,4,2018-10,10-4
2018-10-28 00:00:00+00:00,2018-11-02 00:00:00+00:00,0.5763171659208374,-0.5114500732829721,2018,10,4,4,2018-10,10-4
2018-11-02 00:00:00+00:00,2018-11-07 00:00:00+00:00,0.5569377289996698,-0.5119576006274531,2018,11,4,1,2018-11,11-1
2018-11-07 00:00:00+00:00,2018-11-12 00:00:00+00:00,0.4728988060546454,-0.4293039794824616,2018,11,4,2,2018-11,11-2
2018-11-12 00:00:00+00:00,2018-11-17 00:00:00+00:00,0.37589629172189004,-0.338263512163829,2018,11,4,3,2018-11,11-3
2018-11-17 00:00:00+00:00,2018-11-22 00:00:00+00:00,0.4466990427072624,-0.41970036722734166,2018,11,4,3,2018-11,11-3
2018-11-22 00:00:00+00:00,2018-11-27 00:00:00+00:00,0.4811913170315089,-0.4752822718738324,2018,11,4,4,2018-11,11-4
2018-11-27 00:00:00+00:00,2018-12-02 00:00:00+00:00,0.4738856776506553,-0.468054762604725,2018,11,4,5,2018-11,11-5
2018-12-02 00:00:00+00:00,2018-12-07 00:00:00+00:00,0.42012626158523253,-0.4241077117524889,2018,12,4,1,2018-12,12-1
2018-12-07 00:00:00+00:00,2018-12-12 00:00:00+00:00,0.37827561369443274,-0.37033134198066964,2018,12,4,2,2018-12,12-2
2018-12-12 00:00:00+00:00,2018-12-17 00:00:00+00:00,0.24953143394012847,-0.26060929301931557,2018,12,4,3,2018-12,12-3
